iter	TotalF1	MultiClass
0	0.7227610073	1.062421173
1	0.7292411795	1.030832417
2	0.7673499897	1.003013733
3	0.7753186184	0.981659646
4	0.7916853389	0.9579176997
5	0.7842825515	0.9362290112
6	0.7777152113	0.9173369486
7	0.7757287904	0.9040143315
8	0.775725847	0.8883842054
9	0.7749761772	0.8771911827
10	0.7769233998	0.8653622251
11	0.7746659052	0.8550056651
12	0.7738755139	0.8402451286
13	0.7801405657	0.8245174444
14	0.7787609511	0.8146657128
15	0.7753195075	0.8059696713
16	0.7816220143	0.7950096237
17	0.7906376763	0.7828602963
18	0.7978404684	0.7693104325
19	0.7952510285	0.7610695401
20	0.7927678533	0.7506395913
21	0.7982086389	0.7411984205
22	0.79978363	0.7315448804
23	0.8047993743	0.7238858928
24	0.8078428052	0.7125470987
25	0.814058751	0.7055488521
26	0.8174616211	0.6938051863
27	0.8173240096	0.6886251915
28	0.819767257	0.6779363381
29	0.8163432701	0.6706782375
30	0.8216000446	0.6650685674
31	0.8239956351	0.6572484894
32	0.8253128968	0.6516415213
33	0.8305111683	0.6453430694
34	0.8321123689	0.6436721819
35	0.8410300883	0.6339829018
36	0.8375383004	0.6289321075
37	0.8416350396	0.6250926082
38	0.8441482226	0.6230804549
39	0.8438538915	0.6206468285
40	0.8489566279	0.6130032089
41	0.8483890634	0.606283525
42	0.8499487578	0.5995180826
43	0.8511751258	0.5976936026
44	0.8543449584	0.5906510714
45	0.8556408927	0.588056761
46	0.8521924989	0.5817653299
47	0.8579031014	0.5776949074
48	0.8566717419	0.5748742211
49	0.8569708318	0.5727420869
50	0.8614141581	0.5679464528
51	0.8623842389	0.5621032805
52	0.8633171001	0.5603325352
53	0.8645795568	0.5588866685
54	0.8648905096	0.554435878
55	0.8658408726	0.5501661657
56	0.86898741	0.5436269624
57	0.8683588118	0.5411757069
58	0.8696220969	0.5385576529
59	0.8708686122	0.5370546458
60	0.870871215	0.5354866289
61	0.8699287115	0.5324780819
62	0.8724372635	0.5284776443
63	0.8724379392	0.5246771961
64	0.8724402627	0.521542882
65	0.8758943102	0.5149973369
66	0.8762025733	0.5113158988
67	0.8765168294	0.5098426025
68	0.8774637292	0.5057329917
69	0.8771486178	0.502414022
70	0.8787174968	0.4998698314
71	0.8783990896	0.4959475987
72	0.8805964893	0.4926112325
73	0.8809122302	0.4915183754
74	0.8796440868	0.4889245439
75	0.8812098569	0.4866611394
76	0.8812139961	0.4836317194
77	0.8818298496	0.4822352087
78	0.8818486602	0.4790015557
79	0.8834110213	0.4771844545
80	0.8837257842	0.4746123706
81	0.8840436737	0.4728450293
82	0.8837370723	0.4708285907
83	0.8827866186	0.4667745271
84	0.8834194954	0.4638280018
85	0.883414705	0.4619447251
86	0.88403319	0.4608313951
87	0.8866011222	0.459711314
88	0.8884565608	0.458413215
89	0.8875208154	0.4570690175
90	0.887531759	0.45477044
91	0.8881562073	0.4524771212
92	0.8893987517	0.4489704828
93	0.8897255183	0.4461738503
94	0.8897174398	0.4439490687
95	0.8906553492	0.4429410116
96	0.890652534	0.4410175576
97	0.8906646627	0.4396551809
98	0.8900317637	0.4380770733
99	0.8909614395	0.4356223159
100	0.8906424167	0.434106762
101	0.8937529977	0.4322365469
102	0.8949837166	0.4294304714
103	0.8952937886	0.4282311906
104	0.8943497304	0.427533656
105	0.8940421689	0.4257654234
106	0.8949891886	0.4243645102
107	0.8959167883	0.4236113624
108	0.8962268598	0.4230536577
109	0.8962268598	0.4229357295
110	0.8959167883	0.4229307867
