iter	Passed	Remaining
0	179	89719
1	205	51255
2	234	38792
3	259	32213
4	283	28043
5	307	25301
6	337	23769
7	354	21798
8	378	20622
9	393	19291
10	409	18188
11	431	17565
12	456	17102
13	480	16677
14	494	15987
15	508	15367
16	530	15082
17	556	14902
18	580	14691
19	603	14483
20	626	14291
21	649	14117
22	671	13935
23	695	13788
24	721	13706
25	746	13604
26	772	13541
27	790	13326
28	818	13298
29	850	13319
30	881	13337
31	906	13261
32	932	13194
33	962	13191
34	974	12947
35	1002	12922
36	1031	12913
37	1059	12880
38	1069	12641
39	1078	12397
40	1100	12322
41	1123	12246
42	1147	12190
43	1157	11999
44	1179	11929
45	1203	11873
46	1226	11824
47	1245	11729
48	1271	11700
49	1297	11673
50	1323	11652
51	1348	11621
52	1376	11611
53	1407	11621
54	1436	11619
55	1469	11649
56	1498	11648
57	1520	11585
58	1535	11475
59	1552	11385
60	1575	11336
61	1599	11297
62	1622	11256
63	1646	11214
64	1669	11173
65	1694	11140
66	1718	11107
67	1742	11071
68	1766	11033
69	1790	11000
70	1816	10973
71	1840	10940
72	1865	10913
73	1876	10801
74	1898	10760
75	1923	10730
76	1946	10693
77	1960	10606
78	1982	10566
79	2008	10543
80	2034	10523
81	2058	10493
82	2081	10459
83	2105	10428
84	2130	10400
85	2155	10376
86	2165	10281
87	2189	10250
88	2215	10231
89	2240	10206
90	2264	10179
91	2287	10144
92	2312	10121
93	2335	10089
94	2358	10054
95	2382	10025
96	2406	9998
97	2434	9985
98	2459	9960
99	2485	9943
100	2511	9923
101	2535	9894
102	2559	9866
103	2583	9838
104	2607	9808
105	2631	9782
106	2656	9757
107	2681	9733
108	2704	9702
109	2726	9665
110	2731	9573
111	2753	9539
112	2778	9515
113	2809	9513
114	2837	9499
115	2862	9474
116	2884	9441
117	2909	9418
118	2921	9353
119	2955	9359
120	2984	9348
121	3011	9330
122	3036	9306
123	3061	9282
124	3086	9259
125	3101	9205
126	3123	9174
127	3147	9146
128	3171	9119
129	3195	9095
130	3219	9068
131	3243	9043
132	3270	9025
133	3298	9008
134	3324	8988
135	3350	8966
136	3364	8915
137	3379	8864
138	3393	8812
139	3417	8787
140	3442	8765
141	3468	8744
142	3492	8719
143	3518	8697
144	3545	8679
145	3572	8661
146	3598	8640
147	3622	8615
148	3632	8557
149	3654	8527
150	3678	8502
151	3702	8476
152	3725	8449
153	3749	8424
154	3773	8398
155	3797	8373
156	3820	8347
157	3844	8321
158	3868	8296
159	3894	8276
160	3919	8252
161	3944	8229
162	3968	8205
163	3992	8180
164	4018	8159
165	4045	8140
166	4070	8116
167	4098	8099
168	4131	8091
169	4163	8082
170	4190	8062
171	4214	8036
172	4237	8009
173	4260	7982
174	4288	7965
175	4321	7956
176	4354	7947
177	4380	7924
178	4406	7902
179	4433	7881
180	4458	7858
181	4482	7832
182	4505	7805
183	4529	7779
184	4556	7758
185	4585	7741
186	4614	7724
187	4644	7708
188	4669	7684
189	4693	7657
190	4715	7629
191	4740	7604
192	4766	7582
193	4796	7565
194	4821	7542
195	4846	7516
196	4873	7495
197	4904	7480
198	4930	7456
199	4954	7432
200	4979	7407
201	5003	7380
202	5026	7354
203	5053	7332
204	5078	7307
205	5102	7281
206	5124	7253
207	5147	7226
208	5170	7198
209	5195	7174
210	5219	7148
211	5244	7124
212	5269	7100
213	5296	7078
214	5321	7053
215	5345	7028
216	5370	7003
217	5395	6979
218	5423	6959
219	5447	6933
220	5471	6906
221	5494	6880
222	5519	6855
223	5544	6831
224	5570	6808
225	5596	6784
226	5624	6763
227	5650	6741
228	5678	6719
229	5704	6696
230	5730	6673
231	5758	6651
232	5786	6631
233	5816	6611
234	5846	6592
235	5877	6574
236	5909	6557
237	5940	6539
238	5971	6521
239	6003	6504
240	6037	6487
241	6069	6470
242	6103	6454
243	6136	6437
244	6172	6424
245	6211	6413
246	6247	6399
247	6286	6387
248	6328	6379
249	6367	6367
250	6409	6358
251	6452	6349
252	6498	6344
253	6544	6338
254	6594	6336
255	6643	6331
256	6688	6323
257	6735	6317
258	6791	6319
259	6846	6319
260	6895	6314
261	6944	6308
262	6991	6300
263	7038	6292
264	7088	6285
265	7138	6279
266	7186	6271
267	7236	6264
268	7285	6256
269	7334	6247
270	7382	6238
271	7433	6231
272	7486	6224
273	7535	6215
274	7588	6208
275	7636	6198
276	7684	6186
277	7731	6174
278	7778	6161
279	7825	6148
280	7873	6135
281	7922	6124
282	7970	6111
283	8019	6099
284	8070	6087
285	8122	6077
286	8171	6064
287	8227	6056
288	8279	6044
289	8336	6037
290	8389	6025
291	8446	6016
292	8499	6004
293	8554	5994
294	8608	5982
295	8659	5967
296	8711	5954
297	8763	5940
298	8817	5927
299	8869	5912
300	8922	5899
301	8973	5883
302	9022	5866
303	9071	5848
304	9118	5829
305	9168	5812
306	9217	5795
307	9267	5777
308	9318	5759
309	9366	5740
310	9414	5721
311	9474	5709
312	9529	5693
313	9587	5679
314	9638	5660
315	9690	5642
316	9742	5624
317	9794	5605
318	9846	5586
319	9905	5571
320	9957	5552
321	10009	5533
322	10062	5514
323	10114	5494
324	10165	5473
325	10225	5457
326	10279	5438
327	10333	5418
328	10383	5397
329	10436	5376
330	10485	5353
331	10537	5332
332	10589	5310
333	10638	5287
334	10687	5263
335	10736	5240
336	10784	5216
337	10832	5191
338	10877	5166
339	10927	5142
340	10974	5117
341	11021	5091
342	11070	5067
343	11116	5041
344	11161	5014
345	11209	4989
346	11256	4963
347	11303	4937
348	11349	4910
349	11394	4883
350	11437	4855
351	11482	4827
352	11526	4799
